Original Name,Name in Other Language,Language,Location
GŌG,Γώγ,Greek,Greek
HABEL,Ἅβελ,Greek,Greek
HADĒS,ᾍιδης,Greek,Greek
HAEMON,Άιμον,Greek,Greek
HAIDES,ᾍιδης,Greek,Greek
HAIMON,Άιμον,Greek,Greek
HALPHAIOS,Ἀλφαῖος,Greek,Greek
HANANIAS,Ἁνανίας,Greek,Greek
HEBER,Ἔβέρ,Greek,Greek
HEKTOR,Ἕκτωρ,Greek,Greek
HELI,Ἡλί,Greek,Greek
HELIODOROS,Ήλιόδωρος,Greek,Greek
HELIOS,Ἥλιος,Greek,Greek
HELLADIOS,Ελλάδιος,Greek,Greek
HELLEN,Ελλεν,Greek,Greek
HENOCH,Ἑνώχ,Greek,Greek
HEPHAISTOS,Ήφαιστος,Greek,Greek
HERAKLEIDES,Ἡρακλείδης,Greek,Greek
HERAKLEITOS,Ήράκλειτος,Greek,Greek
HERAKLES,Ἡρακλῆς,Greek,Greek
HERMÊS,Ἑρμῆς,Greek,Greek
HERMOGENES,Ἑρμογένης,Greek,Greek
HERMOKRATES,Ἑρμοκράτης,Greek,Greek
HERMOLAOS,Ερμόλαος,Greek,Greek
HERODES,Ἡρώδης,Greek,Greek
HERODION,Ἡρωδίωνν,Greek,Greek
HERODOTOS,Ἡρόδοτος,Greek,Greek
HESIOD,Ησιοδ,Greek,Greek
HESIODOS,Ἡσίοδος,Greek,Greek
HESPEROS,Ἓσπερος,Greek,Greek
HIERONYMOS,Ἱερώνυμος,Greek,Greek
HILARION,Ιλαρίων,Greek,Greek
HIPPOKRATES,Ιπποκράτης,Greek,Greek
HIPPOLYTOS,Ιππόλυτος,Greek,Greek
HOMER,Ὅμηρ,Greek,Greek
HOMEROS,Ὅμηρος,Greek,Greek
HOROS,Ὡρος,Greek,Greek
HYAKINTHOS,Ὑάκινθος,Greek,Greek
HYGINOS,Υγίνος,Greek,Greek
HYMÊN,Ὑμέν,Greek,Greek
HYMENAIOS,Ὑμέναιος,Greek,Greek
HYPATIOS,Υπάτιος,Greek,Greek
